id,version,sus,pretest,score,pilot
elephant,A,95.0,1.0,0.8,0
penguin,B,87.5,0.79,0.45,0
peacock,A,87.5,0.71,0.84,0
eagle,B,100.0,0.86,0.35,0
giraffe,A,90.0,0.79,0.67,0
hippo,B,75.0,0.79,0.51,0
rhino,A,70.0,0.79,0.51,0
pA,A,80.0,0.93,0.76,1
pB,A,95.0,0.93,0.88,1
pC,B,87.5,0.71,0.69,1
pD,A,75.0,1.0,0.82,1
