index,pageName,question,answer,condition,next,click,hover,mouse,pointer,score,key,delta,participant
2024-07-20 00:13:56.463,Static SUS,5,1,undefined,0,0,0,0,0,,,0.0,corey
2024-07-20 00:13:56.463,Static SUS,3,1,undefined,0,0,0,0,0,,,0.0,corey
2024-07-20 00:13:56.463,Static SUS,2,4,undefined,0,0,0,0,0,,,0.0,corey
2024-07-20 00:13:56.463,Static SUS,1,1,undefined,0,0,0,0,0,,,0.0,corey
2024-07-20 00:13:56.463,Static SUS,0,2,undefined,0,0,0,0,0,,,0.0,corey
2024-07-20 00:13:56.463,Static SUS,4,3,undefined,0,0,0,0,0,,,0.0,corey
2024-07-20 00:14:34.473,Interactive SUS,0,5,undefined,0,0,0,0,0,,,38.01,corey
2024-07-20 00:14:34.473,Interactive SUS,1,1,undefined,0,0,0,0,0,,,0.0,corey
2024-07-20 00:14:34.473,Interactive SUS,2,5,undefined,0,0,0,0,0,,,0.0,corey
2024-07-20 00:14:34.473,Interactive SUS,3,1,undefined,0,0,0,0,0,,,0.0,corey
2024-07-20 00:14:34.473,Interactive SUS,4,5,undefined,0,0,0,0,0,,,0.0,corey
2024-07-20 00:14:34.473,Interactive SUS,5,1,undefined,0,0,0,0,0,,,0.0,corey
2024-07-20 00:14:34.473,Interactive SUS,6,4,undefined,0,0,0,0,0,,,0.0,corey
2024-07-20 00:14:34.474,Interactive SUS,8,5,undefined,0,0,0,0,0,,,0.001,corey
2024-07-20 00:14:34.474,Interactive SUS,7,1,undefined,0,0,0,0,0,,,0.0,corey
2024-07-20 00:14:34.474,Interactive SUS,9,1,undefined,0,0,0,0,0,,,0.0,corey
