t,e,c,v
1720808013188,ml,re,
1720808013285,m,re,
1720808013639,ml,re,
1720808013896,m,re,
1720808014091,ml,re,
1720808014320,m,mi,
1720808014979,ml,mi,
1720808017411,m,mi,
1720808017466,ml,mi,
1720808018925,m,mi,
1720808020905,ml,mi,
1720808029489,h,s,segment.AB
1720808029544,h,s,segment.AB
1720808029642,h,s,segment.AB
1720808029767,h,s,segment.AB
1720808030573,c,pr,s1
1720808049955,c,pr,s2
1720808052735,c,pr,s3
1720808054947,m,mi,
1720808054959,ml,mi,
1720808057522,c,pr,s4
1720808062757,c,pr,s5
1720808067512,c,pr,s6
1720808076820,c,pr,s7
1720808079852,h,s,segment.AB
1720808079859,h,s,segment.AB
1720808079860,h,s,segment.BC
1720808079868,h,s,segment.BC
1720808091011,c,pr,s8
1720808092438,m,mi,
1720808093250,ml,mi,
1720808093271,m,re,
1720808093466,ml,re,
1720808093716,m,mi,
1720808094487,ml,mi,
1720808094487,m,re,
1720808095140,ml,re,
1720808095154,m,mi,
1720808095342,ml,mi,
1720808097344,c,pr,s3
1720808109944,c,pr,s4
1720808126129,c,pr,s8
1720808126701,c,pr,s7
1720808127093,c,pr,s8
1720808129000,p,l,AC
1720808129403,p,l,AC
1720808129597,m,mi,
1720808129806,ml,mi,
1720808129924,h,po,D
1720808129952,h,po,D
1720808129987,h,s,segment.CD
1720808130132,h,s,segment.CD
1720808130133,h,s,segment.BD
1720808130639,h,s,segment.BD
1720808130639,h,s,segment.AD
1720808131015,h,s,segment.AD
1720808131015,h,s,segment.CD
1720808131638,h,s,segment.CD
1720808131638,h,s,segment.AD
1720808132133,h,s,segment.AD
1720808132133,h,s,segment.CD
1720808132487,h,s,segment.CD
1720808132487,h,po,D
1720808132494,h,po,D
1720808132543,m,mi,
1720808132577,ml,mi,
1720808133664,c,pr,s7
1720808136485,c,pr,s8
1720808145719,h,s,segment.JK
1720808145725,h,s,segment.JK
1720808145726,h,t,triangle.JKM
1720808145733,h,t,triangle.JKM
1720808145733,h,s,segment.KM
1720808145740,h,s,segment.KM
1720808145740,h,s,segment.LM
1720808145754,h,s,segment.LM
1720808146747,h,po,M
1720808146754,h,po,M
1720808146775,h,s,segment.LM
1720808146794,h,s,segment.LM
1720808146794,h,s,segment.KL
1720808146796,h,s,segment.KL
1720808146796,h,s,segment.LM
1720808146803,h,s,segment.LM
1720808146810,h,po,L
1720808147122,h,po,L
1720808147142,h,s,segment.KL
1720808147212,h,s,segment.KL
1720808147212,h,t,triangle.KLM
1720808147455,h,t,triangle.KLM
1720808147455,h,s,segment.KL
1720808148556,c,s,segment.KL
1720808148886,h,t,triangle.KLM
1720808149066,h,t,triangle.KLM
1720808149067,h,s,segment.KM
1720808149108,h,s,segment.KM
1720808149108,h,t,triangle.JKM
1720808149310,h,t,triangle.JKM
1720808149310,h,s,segment.JK
1720808149428,h,s,segment.JK
1720808150178,h,s,segment.JK
1720808150205,h,s,segment.JK
1720808150205,h,t,triangle.JKM
1720808150483,h,t,triangle.JKM
1720808150484,h,s,segment.KM
1720808151203,c,s,segment.KM
1720808152206,h,t,triangle.JKM
1720808152276,h,t,triangle.JKM
1720808152276,h,s,segment.JK
1720808152283,h,s,segment.JK
1720808152289,h,po,J
1720808152297,h,po,J
1720808153491,p,l,LMK
1720808153512,m,d,Congruent triangles
1720808153531,p,l,JMK
1720808153908,m,d,Congruent triangles
1720808153928,p,l,LMK
1720808154672,m,d,Congruent triangles
1720808154715,p,l,JMK
1720808155318,p,l,JL
1720808155381,m,d,Perpendicular
1720808155409,p,l,MK
1720808155686,m,d,Perpendicular
1720808155894,p,l,JL
1720808157846,m,d,Perpendicular
1720808157887,p,l,MK
1720808158152,m,d,Perpendicular
1720808158181,p,l,JL
1720808158561,p,l,JK
1720808159298,m,d,Congruent lines
1720808159422,p,l,LK
1720808159875,m,d,Congruent lines
1720808159922,p,l,JK
1720808160125,m,d,Congruent lines
1720808162583,p,l,JK
1720808162681,p,l,JL
1720808162820,m,d,Perpendicular
1720808163694,p,l,JL
1720808163744,p,l,JK
1720808163771,m,d,Congruent lines
1720808163881,p,l,LK
1720808164431,m,d,Congruent lines
1720808164451,p,l,JK
1720808164854,p,l,JMK
