t,e,c,v
1721922110475,p,l,AM
1721922112127,p,l,M
1721922117186,p,l,AB
1721922122278,p,l,AB
1721922138270,c,pr-r,s2
1721922148389,c,pr-r,s3
1721922152101,c,pr-r,s4
1721922157971,m,mi,
1721922158120,ml,mi,
1721922158220,h,s,segment.BM
1721922158237,h,s,segment.BM
1721922158238,h,t,triangle.BDM
1721922158254,h,t,triangle.BDM
1721922158254,h,s,segment.DM
1721922158287,h,s,segment.DM
1721922162177,h,s,segment.AM
1721922162226,h,s,segment.AM
1721922162227,h,t,triangle.ACM
1721922162427,h,t,triangle.ACM
1721922162429,h,s,segment.CM
1721922162843,h,s,segment.CM
1721922168961,c,pr-r,s5
1721922169595,c,pr-r,s6
1721922170109,c,pr-r,s7
1721922186931,c,pr,s6
1721922195002,c,pr,s7
1721922211977,h,s,segment.CM
1721922211994,h,s,segment.CM
1721922211995,h,t,triangle.ACM
1721922212029,h,t,triangle.ACM
1721922215899,h,s,segment.AM
1721922215917,h,s,segment.AM
1721922215918,h,t,triangle.ACM
1721922215934,h,t,triangle.ACM
1721922215935,h,s,segment.CM
1721922215965,h,s,segment.CM
1721922222027,h,s,segment.AC
1721922222078,h,s,segment.AC
1721922222079,h,t,triangle.ACM
1721922222113,h,t,triangle.ACM
1721922222115,h,s,segment.AM
1721922222159,h,s,segment.AM
1721922223120,h,s,segment.AM
1721922224214,h,s,segment.AM
1721922636793,h,s,segment.LM
1721922636826,h,s,segment.LM
1721922636826,h,t,triangle.KLM
1721922636843,h,t,triangle.KLM
1721922636845,h,s,segment.KM
1721922636893,h,s,segment.KM
1721922636894,h,t,triangle.JKM
1721922637010,h,t,triangle.JKM
1721922637011,h,s,segment.JK
1721922637028,h,s,segment.JK
1721922644155,c,pr-r,s1
1721922653961,c,pr-r,s2
1721922654884,c,pr-r,s3
1721922682537,c,pr-r,s4
1721922686789,c,pr-r,s5
1721922723976,h,s,segment.KM
1721922724010,h,s,segment.KM
1721922724010,h,s,segment.KL
1721922724318,h,s,segment.KL
1721922724685,h,s,segment.KL
1721922725103,h,s,segment.KL
1721922725103,h,t,triangle.KLM
1721922725304,h,t,triangle.KLM
1721922725306,h,s,segment.LM
1721922725321,h,s,segment.LM
1721922728385,h,s,segment.LM
1721922728403,h,s,segment.LM
1721922728404,h,s,segment.JM
1721922728627,h,s,segment.JM
1721922737799,c,pr,s3
1721922759265,h,s,segment.JK
1721922759281,h,s,segment.JK
1721922759282,h,t,triangle.JKM
1721922759338,h,t,triangle.JKM
1721922759339,h,s,segment.KM
1721922759350,h,s,segment.KM
1721922759352,h,t,triangle.KLM
1721922759393,h,t,triangle.KLM
1721922759394,h,s,segment.LM
1721922759411,h,s,segment.LM
1721922761830,h,s,segment.BC
1721922761946,h,s,segment.BC
1721922761947,h,s,segment.BD
1721922762048,h,s,segment.BD
1721922762049,h,s,segment.AB
1721922762363,h,s,segment.AB
1721922766789,c,pr-r,s1
1721922773821,c,pr-r,s2
1721922774536,c,pr-r,s3
1721922793603,m,mi,
1721922794401,ml,mi,
1721922794434,h,s,segment.AD
1721922794451,h,s,segment.AD
1721922794452,h,t,triangle.ABD
1721922794702,h,t,triangle.ABD
1721922794717,h,t,triangle.ABD
1721922794734,h,t,triangle.ABD
1721922794734,h,s,segment.BD
1721922794785,h,s,segment.BD
1721922794786,h,s,segment.BC
1721922794801,h,s,segment.BC
1721922804905,h,po,B
1721922804919,h,po,B
1721922806712,c,pr-r,s4
1721922810462,c,pr,s3
1721922815945,c,pr,s4
1721922823873,c,pr-r,s5
1721922828199,c,pr-r,s6
1721922848127,c,pr,s4
1721922874933,c,pr-r,s7
1721922875302,c,pr-r,s8
1721922887693,m,mi,
1721922887756,ml,mi,
1721922887789,h,t,triangle.BCD
1721922887806,h,t,triangle.BCD
1721923042240,n,i,
1721923202840,h,s,segment.WX
1721923202992,h,s,segment.WX
1721923202994,h,t,triangle.MWX
1721923203023,h,t,triangle.MWX
1721923203023,h,s,segment.MW
1721923203076,h,s,segment.MW
1721923205459,c,pr-r,s1
1721923211159,c,pr-r,s2
1721923212089,c,pr-r,s3
1721923215232,c,pr-r,s4
1721923221031,c,pr-r,s5
1721923233563,c,pr-r,s6
1721923240875,c,pr-r,s7
1721923275564,c,pr-r,s8
1721923304509,h,s,segment.BF
1721923304525,h,s,segment.BF
1721923304526,h,t,triangle.ABF
1721923304545,h,t,triangle.ABF
1721923304546,h,s,segment.AF
1721923304560,h,s,segment.AF
1721923307666,c,pr-r,s1
1721923309638,c,pr-r,s2
1721923312743,c,pr-r,s3
1721923316524,c,pr-r,s4
1721923319059,c,pr-r,s5
1721923321071,c,pr-r,s6
1721923330782,c,pr-r,s7
1721923344650,c,pr-r,s8
1721923347335,c,pr-r,s9
1721923370790,c,pr-r,s10
