t,e,c,v
1721432703645,h,s,segment.CD
1721432703657,h,s,segment.CD
1721432705397,p,l,ADC
1721432705518,m,d,Congruent triangles
1721432705681,p,l,AD
1721432706318,p,l,BC
1721432706336,p,l,DC
1721432706445,h,s,segment.AC
1721432706457,h,s,segment.AC
1721432706851,h,t,triangle.ACD
1721432706863,h,t,triangle.ACD
1721432706863,h,s,segment.AC
1721432706870,h,s,segment.AC
1721432706870,h,s,segment.AB
1721432706875,h,s,segment.AB
1721432707433,p,l,AD
1721432707918,p,l,BC
1721432708026,h,s,segment.AC
1721432708039,h,s,segment.AC
1721432708039,h,t,triangle.ACD
1721432708051,h,t,triangle.ACD
1721432708318,h,t,triangle.ACD
1721432708851,h,t,triangle.ACD
1721432708851,h,s,segment.AC
1721432709021,h,s,segment.AC
1721432709021,h,t,triangle.ACD
1721432709064,h,t,triangle.ACD
1721432709064,h,s,segment.CD
1721432709070,h,s,segment.CD
1721432709512,h,s,segment.CD
1721432709524,h,s,segment.CD
1721432709524,h,t,triangle.ACD
1721432709530,h,t,triangle.ACD
1721432709530,h,s,segment.AC
1721432709536,h,s,segment.AC
1721432709536,h,t,triangle.ABC
1721432709584,h,t,triangle.ABC
1721432709584,h,s,segment.AB
1721432710094,h,s,segment.AB
1721432710439,p,l,ADC
1721432710446,m,d,Congruent triangles
1721432710463,p,l,ABC
1721432710682,p,l,BC
1721432710706,m,d,Congruent lines
1721432710730,p,l,DC
1721432711578,h,t,triangle.ABC
1721432711591,h,t,triangle.ABC
1721432711591,h,t,triangle.ACD
1721432711597,h,t,triangle.ACD
1721432711597,h,s,segment.CD
1721432711602,h,s,segment.CD
1721432712524,h,s,segment.CD
1721432712738,c,s,segment.CD
1721432714700,h,t,triangle.ACD
1721432714711,h,t,triangle.ACD
1721432714712,h,s,segment.AC
1721432714729,h,s,segment.AC
1721432714729,h,t,triangle.ABC
1721432715105,h,t,triangle.ABC
1721432715105,h,s,segment.AC
1721432715710,c,s,segment.AC
1721432715918,h,t,triangle.ACD
1721432715966,h,t,triangle.ACD
1721432716263,h,t,triangle.ACD
1721432716505,h,t,triangle.ACD
1721432716923,c,s,segment.AC
1721432716967,h,t,triangle.ACD
1721432717210,c,t,triangle.ACD
1721432717560,h,s,segment.AC
1721432717885,c,s,segment.AC
1721432718039,h,t,triangle.ABC
1721432718175,c,t,triangle.ABC
1721432718415,h,s,segment.AB
1721432718775,c,s,segment.AB
1721432719124,h,po,A
1721432719498,c,po,A
1721432721057,h,s,segment.BC
1721432721427,c,s,segment.BC
1721432723063,h,po,C
1721432723118,h,po,C
1721432725778,h,po,C
1721432725924,h,po,C
1721432726597,h,po,C
1721432726615,h,po,C
1721432728115,c,s,segment.CD
1721432728934,c,s,segment.CD
1721432729332,c,s,segment.BC
1721432729658,c,s,segment.AC
1721432730014,c,s,segment.CD
1721432730617,c,t,triangle.ACD
1721432730991,c,s,segment.AD
1721432731275,h,s,segment.CD
1721432731963,c,s,segment.CD
1721432732148,h,t,triangle.ACD
1721432732227,h,t,triangle.ACD
1721432732227,h,s,segment.AC
1721432732281,h,s,segment.AC
1721432733764,c,s,segment.AB
1721432734009,h,s,segment.AC
1721432734033,h,s,segment.AC
1721432734033,h,s,segment.AD
1721432734087,h,s,segment.AD
1721432749199,c,pr-r,s1
1721432759787,c,s,segment.CD
1721432760051,h,t,triangle.ACD
1721432760087,h,t,triangle.ACD
1721432760087,h,s,segment.AC
1721432760105,h,s,segment.AC
1721432760105,h,s,segment.AB
1721432760112,h,s,segment.AB
1721432760642,c,po,A
1721432760766,h,po,A
1721432760766,h,s,segment.AD
1721432760791,h,s,segment.AD
1721432760791,h,s,segment.AC
1721432760797,h,s,segment.AC
1721432760797,h,s,segment.AB
1721432760844,h,s,segment.AB
1721432760956,c,t,triangle.ABC
1721432761300,h,s,segment.AC
1721432761323,h,s,segment.AC
1721432761324,h,t,triangle.ACD
1721432761366,h,t,triangle.ACD
1721432761366,h,s,segment.CD
1721432761378,h,s,segment.CD
1721432764110,c,po,D
1721432765838,h,po,D
1721432765838,h,s,segment.CD
1721432765888,h,s,segment.CD
1721432767950,c,pr-r,s2
1721432776784,h,s,segment.BC
1721432776790,h,s,segment.BC
1721432776790,h,t,triangle.ABC
1721432776803,h,t,triangle.ABC
1721432776803,h,s,segment.AC
1721432776809,h,s,segment.AC
1721432776809,h,t,triangle.ACD
1721432776821,h,t,triangle.ACD
1721432777076,h,s,segment.AD
1721432777081,h,s,segment.AD
1721432777081,h,s,segment.AC
1721432777087,h,s,segment.AC
1721432777087,h,t,triangle.ABC
1721432777099,h,t,triangle.ABC
1721432777105,h,s,segment.AB
