t,e,c,v
1720724878214,h,s,segment.AB
1720724886837,c,pr,s3
1720724888676,c,qh,show
1720724889972,c,qh,hide
1720724901133,h,s,segment.AB
1720724901163,h,s,segment.AB
1720724901164,h,t,triangle.ABD
1720724901267,h,t,triangle.ABD
1720724901268,h,s,segment.BD
1720724901441,h,s,segment.BD
1720724901442,h,t,triangle.BCD
1720724901657,h,t,triangle.BCD
1720724901658,h,s,segment.CD
1720724901719,h,s,segment.CD
1720724901719,h,s,segment.AD
1720724902068,h,s,segment.AD
1720724902069,h,s,segment.CD
1720724902344,h,s,segment.CD
1720724902344,h,t,triangle.BCD
1720724902358,h,t,triangle.BCD
1720724902358,h,s,segment.BD
1720724902365,h,s,segment.BD
1720724902365,h,t,triangle.ABD
1720724902385,h,t,triangle.ABD
1720724902386,h,s,segment.AB
1720724902393,h,s,segment.AB
1720724903838,h,s,segment.AB
1720724903860,h,s,segment.AB
1720724903873,h,t,triangle.ABD
1720724903894,h,t,triangle.ABD
1720724903929,h,t,triangle.ABD
1720724903949,h,t,triangle.ABD
1720724903950,h,s,segment.BD
1720724903998,h,s,segment.BD
1720724903998,h,s,segment.BC
1720724904026,h,s,segment.BC
1720724904318,h,s,segment.BC
1720724904353,h,s,segment.BC
1720724904354,h,t,triangle.BCD
1720724904436,h,t,triangle.BCD
1720724904437,h,s,segment.CD
1720724904457,h,s,segment.CD
1720724904621,h,s,segment.CD
1720724904651,h,s,segment.CD
1720724904652,h,s,segment.BD
1720724904659,h,s,segment.BD
1720724904660,h,s,segment.AD
1720724904666,h,s,segment.AD
1720724904667,h,t,triangle.ABD
1720724904686,h,t,triangle.ABD
1720724904686,h,s,segment.AB
1720724904694,h,s,segment.AB
1720724911061,c,pr,s6
1720724914634,h,s,segment.AB
1720724915180,c,s,segment.AB
1720724915413,h,t,triangle.ABD
1720724915466,h,t,triangle.ABD
1720724915474,h,s,segment.BD
1720724915488,h,s,segment.BD
1720724915489,h,t,triangle.BCD
1720724915508,h,t,triangle.BCD
1720724915508,h,s,segment.BC
1720724915522,h,s,segment.BC
1720724916239,h,t,triangle.BCD
1720724916248,h,t,triangle.BCD
1720724916249,h,s,segment.BD
1720724916256,h,s,segment.BD
1720724916256,h,t,triangle.ABD
1720724916283,h,t,triangle.ABD
1720724917077,c,s,segment.AB
1720724917209,h,t,triangle.ABD
1720724917669,c,t,triangle.ABD
1720724917919,h,s,segment.BD
1720724917954,h,s,segment.BD
1720724917954,h,t,triangle.BCD
1720724918477,c,t,triangle.BCD
