t,e,c,v
1721922146394,h,s,segment.AC
1721922146427,h,s,segment.AC
1721922146428,h,t,triangle.ABC
1721922146526,h,t,triangle.ABC
1721922146527,h,s,segment.AB
1721922146543,h,s,segment.AB
1721922147543,p,l,DAC
1721922148142,p,l,BAC
1721922150313,p,l,BAC
1721922151660,p,l,DAC
1721922151745,p,l,DAC
1721922153261,h,s,segment.AB
1721922153313,h,s,segment.AB
1721922153313,h,t,triangle.ABC
1721922153478,h,t,triangle.ABC
1721922153479,h,t,triangle.ACD
1721922153496,h,t,triangle.ACD
1721922153497,h,s,segment.AD
1721922153515,h,s,segment.AD
1721922153795,h,s,segment.AD
1721922153813,h,s,segment.AD
1721922153813,h,t,triangle.ACD
1721922153879,h,t,triangle.ACD
1721922154980,h,po,D
1721922155062,h,po,D
1721922155563,h,s,segment.AD
1721922155614,h,s,segment.AD
1721922155616,h,t,triangle.ACD
1721922155932,h,t,triangle.ACD
1721922160636,h,s,segment.BC
1721922160670,h,s,segment.BC
1721922160672,h,t,triangle.ABC
1721922160689,h,t,triangle.ABC
1721922160690,h,s,segment.AB
1721922160722,h,s,segment.AB
1721922160967,h,s,segment.AB
1721922161001,h,s,segment.AB
1721922161003,h,t,triangle.ABC
1721922161184,h,t,triangle.ABC
1721922161185,h,s,segment.AC
1721922161219,h,s,segment.AC
1721922161220,h,t,triangle.ACD
1721922161249,h,t,triangle.ACD
1721922161266,h,s,segment.AD
1721922161283,h,s,segment.AD
1721922164135,h,t,triangle.ACD
1721922164168,h,t,triangle.ACD
1721922164169,h,s,segment.AC
1721922164187,h,s,segment.AC
1721922164189,h,t,triangle.ABC
1721922164241,h,t,triangle.ABC
1721922164242,h,s,segment.BC
1721922164287,h,s,segment.BC
1721922165171,c,pr,s3
1721922166228,c,pr,s2
1721922167571,c,pr,s3
1721922169403,h,s,segment.AB
1721922169573,h,s,segment.AB
1721922169574,h,t,triangle.ABC
1721922169590,h,t,triangle.ABC
1721922169592,h,s,segment.AC
1721922169607,h,s,segment.AC
1721922169608,h,s,segment.AD
1721922169641,h,s,segment.AD
1721922173055,h,s,segment.AD
1721922173072,h,s,segment.AD
1721922173073,h,t,triangle.ACD
1721922173121,h,t,triangle.ACD
1721922173240,m,mi,
1721922173356,ml,mi,
1721922176644,a,pr,s4
1721922180277,h,s,segment.AD
1721922180427,h,s,segment.AD
1721922196816,m,re,
1721922197250,ml,re,
1721922197366,h,t,triangle.ACD
1721922197384,h,t,triangle.ACD
1721922197386,h,s,segment.AC
1721922197418,h,s,segment.AC
1721922197419,h,t,triangle.ABC
1721922197519,h,t,triangle.ABC
1721922197520,h,s,segment.AC
1721922208080,h,s,segment.AC
1721922208082,h,t,triangle.ACD
1721922208147,h,t,triangle.ACD
1721922208955,h,po,D
1721922209104,h,po,D
1721922215077,c,pr,s3
1721922215737,c,pr,s4
1721922225584,m,mi,
1721922226402,ml,mi,
1721922234487,m,mi,
1721922235267,ml,mi,
1721922241623,h,po,B
1721922241640,h,po,B
1721922241642,h,s,segment.AB
1721922241657,h,s,segment.AB
1721922241658,h,t,triangle.ABC
1721922241705,h,t,triangle.ABC
1721922241707,h,s,segment.AC
1721922241738,h,s,segment.AC
1721922241739,h,t,triangle.ACD
1721922241754,h,t,triangle.ACD
1721922241770,h,s,segment.AD
1721922241786,h,s,segment.AD
1721922249367,n,i,
1721922360045,h,s,segment.MR
1721922360311,h,s,segment.MR
1721922360312,h,s,segment.NR
1721922361610,h,s,segment.NR
1721922361611,h,s,segment.PR
1721922361811,h,s,segment.PR
1721922361812,h,s,segment.QR
1721922362012,h,s,segment.QR
1721922362013,h,t,triangle.PQR
1721922362278,h,t,triangle.PQR
1721922362411,h,s,segment.QR
1721922362446,h,s,segment.QR
1721922378303,h,s,segment.QR
1721922378320,h,s,segment.QR
1721922378322,h,s,segment.PQ
1721922378337,h,s,segment.PQ
1721922379000,c,pr,s3
1721922379399,c,pr,s1
1721922380043,c,pr,s4
1721922380673,c,pr,s7
1721922381336,m,mi,
1721922381521,ml,mi,
1721922384476,m,mi,
1721922385543,ml,mi,
1721922392102,h,s,segment.MR
1721922392169,h,s,segment.MR
1721922392170,h,t,triangle.MNR
1721922392443,h,t,triangle.MNR
1721922392445,h,s,segment.NR
1721922392527,h,s,segment.NR
1721922392577,h,s,segment.PR
1721922392626,h,s,segment.PR
1721922393342,h,s,segment.PQ
1721922393393,h,s,segment.PQ
1721922393395,h,t,triangle.PQR
1721922393576,h,t,triangle.PQR
1721922393626,h,s,segment.QR
1721922393826,h,s,segment.QR
1721922394009,h,s,segment.MR
1721922394043,h,s,segment.MR
1721922394045,h,t,triangle.MNR
1721922394076,h,t,triangle.MNR
1721922394078,h,s,segment.NR
1721922394095,h,s,segment.NR
1721922394195,m,re,
1721922394209,ml,re,
1721922395861,m,mi,
1721922395945,ml,mi,
1721922396445,m,re,
1721922396546,ml,re,
1721922396579,m,mi,
1721922397047,ml,mi,
1721922397079,m,re,
1721922399266,ml,re,
1721922399317,m,mi,
1721922399384,ml,mi,
1721922401202,h,s,segment.QR
1721922401270,h,s,segment.QR
1721922401271,h,s,segment.PQ
1721922401289,h,s,segment.PQ
1721922418119,h,s,segment.MR
1721922418305,h,s,segment.MR
1721922418307,h,t,triangle.MNR
1721922418323,h,t,triangle.MNR
1721922418355,h,s,segment.NR
1721922418386,h,s,segment.NR
1721922419411,c,pr,s7
1721922420273,m,mi,
1721922425012,ml,mi,
1721922426319,m,re,
1721922426856,ml,re,
1721922427796,m,re,
1721922427879,ml,re,
1721922428163,m,re,
1721922431384,ml,re,
1721922431401,m,mi,
1721922435773,ml,mi,
1721922441081,h,s,segment.PR
1721922480102,h,s,segment.PR
1721922480105,h,t,triangle.PQR
1721922480136,h,t,triangle.PQR
1721922480137,h,s,segment.QR
1721922480154,h,s,segment.QR
1721922487090,h,s,segment.MR
1721922487107,h,s,segment.MR
1721922487125,h,t,triangle.MNR
1721922487142,h,t,triangle.MNR
1721922487339,m,mi,
1721922487573,ml,mi,
1721922535589,h,s,segment.PQ
1721922535607,h,s,segment.PQ
1721922535609,h,s,segment.PR
1721922535731,h,s,segment.PR
1721922535750,h,s,segment.NR
1721922535782,h,s,segment.NR
1721922535784,h,t,triangle.MNR
1721922535896,h,t,triangle.MNR
1721922535945,h,s,segment.MR
1721922536094,h,s,segment.MR
1721922544372,h,s,segment.MR
1721922544423,h,s,segment.MR
1721922544424,h,t,triangle.MNR
1721922544450,h,t,triangle.MNR
1721922544452,h,s,segment.NR
1721922544489,h,s,segment.NR
1721922544733,h,s,segment.PR
1721922544785,h,s,segment.PR
1721922544787,h,t,triangle.PQR
1721922544967,h,t,triangle.PQR
1721922544969,h,s,segment.QR
1721922545016,h,s,segment.QR
1721922545200,h,s,segment.QR
1721922545232,h,s,segment.QR
1721922545233,h,s,segment.PR
1721922545251,h,s,segment.PR
1721922545253,h,s,segment.NR
1721922546316,h,s,segment.NR
1721922593193,h,po,B
1721922593208,h,po,B
1721922593239,h,s,segment.BC
1721922593257,h,s,segment.BC
1721922593258,h,s,segment.AB
1721922593373,h,s,segment.AB
1721922599576,h,s,segment.AB
1721922599594,h,s,segment.AB
1721922599596,h,s,segment.BD
1721922599612,h,s,segment.BD
1721922599614,h,t,triangle.BCD
1721922599629,h,t,triangle.BCD
1721922599630,h,s,segment.BC
1721922599677,h,s,segment.BC
1721922608580,h,po,B
1721922608981,h,po,B
1721922608983,h,s,segment.BC
1721922609099,h,s,segment.BC
1721922609101,h,s,segment.BD
1721922609332,h,s,segment.BD
1721922609349,h,t,triangle.ABD
1721922609366,h,t,triangle.ABD
1721922609368,h,s,segment.BD
1721922609464,h,s,segment.BD
1721922609466,h,t,triangle.BCD
1721922609483,h,t,triangle.BCD
1721922609485,h,s,segment.CD
1721922609532,h,s,segment.CD
1721922611310,c,pr,s8
1721922670163,m,re,
1721922670230,ml,re,
1721922670880,m,mi,
1721922671131,ml,mi,
1721922678725,h,s,segment.AB
1721922678792,h,s,segment.AB
1721922678794,h,t,triangle.ABD
1721922678866,h,t,triangle.ABD
1721922679162,h,t,triangle.ABD
1721922679195,h,t,triangle.ABD
1721922679213,h,s,segment.AB
1721922679279,h,s,segment.AB
1721922686706,m,mi,
1721922687290,ml,mi,
1721922687624,h,s,segment.AD
1721922688017,h,s,segment.AD
1721922688019,h,t,triangle.ABD
1721922689001,h,t,triangle.ABD
