t,e,c,v
1720754380615,h,t,triangle.ACD
1720754380616,h,s,segment.AD
1720754380984,h,s,segment.AD
1720754380984,h,t,triangle.ACD
1720754381011,h,t,triangle.ACD
1720754381012,h,s,segment.AC
1720754381019,h,s,segment.AC
1720754381019,h,t,triangle.ABC
1720754381047,h,t,triangle.ABC
1720754381048,h,s,segment.BC
1720754381054,h,s,segment.BC
1720754382709,h,s,segment.BC
1720754382716,h,s,segment.BC
1720754382717,h,t,triangle.ABC
1720754382723,h,t,triangle.ABC
1720754382723,h,s,segment.AC
1720754382729,h,s,segment.AC
1720754382730,h,t,triangle.ACD
1720754382743,h,t,triangle.ACD
1720754382743,h,s,segment.AD
1720754382750,h,s,segment.AD
1720754384182,h,po,A
1720754384190,h,po,A
1720754385010,h,s,segment.AB
1720754385045,h,s,segment.AB
1720754385045,h,s,segment.AC
1720754385052,h,s,segment.AC
1720754385052,h,s,segment.AB
1720754385142,h,s,segment.AB
1720754385142,h,t,triangle.ABC
1720754385156,h,t,triangle.ABC
1720754385156,h,s,segment.AC
1720754385191,h,s,segment.AC
1720754385192,h,t,triangle.ACD
1720754385205,h,t,triangle.ACD
1720754385205,h,s,segment.AD
1720754385225,h,s,segment.AD
1720754385560,h,s,segment.AD
1720754385580,h,s,segment.AD
1720754386283,h,s,segment.AD
1720754390490,h,s,segment.AD
1720754390490,h,t,triangle.ACD
1720754390511,h,t,triangle.ACD
1720754390511,h,s,segment.AC
1720754390518,h,s,segment.AC
1720754390519,h,t,triangle.ABC
1720754390525,h,t,triangle.ABC
1720754390525,h,s,segment.AB
1720754390532,h,s,segment.AB
1720754390809,h,s,segment.BC
1720754390817,h,s,segment.BC
1720754390818,h,t,triangle.ABC
1720754390838,h,t,triangle.ABC
1720754390839,h,s,segment.AC
1720754390845,h,s,segment.AC
1720754390845,h,t,triangle.ACD
1720754390942,h,t,triangle.ACD
1720754390942,h,s,segment.AC
1720754390963,h,s,segment.AC
1720754390963,h,t,triangle.ABC
1720754390970,h,t,triangle.ABC
1720754390977,h,s,segment.AB
1720754390984,h,s,segment.AB
1720754394612,a,pr,prove
1720754411470,c,pr-r,s1
1720754412548,h,s,segment.CD
1720754412555,h,s,segment.CD
1720754412556,h,t,triangle.ACD
