t,e,c,v
1721922249390,h,s,segment.AC
1721922249489,h,s,segment.AC
1721922249490,h,t,triangle.ABC
1721922249656,h,t,triangle.ABC
1721922249658,h,s,segment.BC
1721922249757,h,s,segment.BC
1721922250539,h,s,segment.CD
1721922250556,h,s,segment.CD
1721922250557,h,t,triangle.ACD
1721922250590,h,t,triangle.ACD
1721922250591,h,s,segment.AC
1721922250638,h,s,segment.AC
1721922254506,m,re,
1721922256457,ml,re,
1721922261743,h,s,segment.CD
1721922261825,h,s,segment.CD
1721922261826,h,t,triangle.ACD
1721922261859,h,t,triangle.ACD
1721922261861,h,s,segment.AC
1721922261906,h,s,segment.AC
1721922261907,h,t,triangle.ABC
1721922261972,h,t,triangle.ABC
1721922261973,h,s,segment.BC
1721922262006,h,s,segment.BC
1721922263149,c,pr,s3
1721922264424,c,pr,s4
1721922268405,h,t,triangle.ABC
1721922268422,h,t,triangle.ABC
1721922268423,h,s,segment.AD
1721922268438,h,s,segment.AD
1721922274722,m,mi,
1721922277807,ml,mi,
1721922279291,m,mi,
1721922280391,ml,mi,
1721922280842,m,mi,
1721922282559,ml,mi,
1721922283510,m,mi,
1721922283594,ml,mi,
1721922287630,m,d,Congruent triangles
1721922290426,m,mi,
1721922290527,ml,mi,
1721922291244,m,mi,
1721922292645,ml,mi,
1721922293644,h,s,segment.AD
1721922293663,h,s,segment.AD
1721922296245,h,po,A
1721922296292,h,po,A
1721922297590,h,s,segment.AD
1721922297692,h,s,segment.AD
1721922297693,h,t,triangle.ACD
1721922297985,h,t,triangle.ACD
1721922297986,h,s,segment.AC
1721922298053,h,s,segment.AC
1721922298054,h,t,triangle.ABC
1721922298070,h,t,triangle.ABC
1721922298071,h,s,segment.AB
1721922298088,h,s,segment.AB
1721922310157,h,po,A
1721922310225,h,po,A
1721922310572,h,s,segment.AB
1721922310640,h,s,segment.AB
1721922310641,h,s,segment.AC
1721922310659,h,s,segment.AC
1721922310661,h,s,segment.AD
1721922311152,h,s,segment.AD
1721922311153,h,t,triangle.ACD
1721922311219,h,t,triangle.ACD
1721922311220,h,s,segment.AC
1721922311402,h,s,segment.AC
1721922311404,h,t,triangle.ABC
1721922311636,h,t,triangle.ABC
1721922311637,h,s,segment.AB
1721922311670,h,s,segment.AB
1721922325352,n,i,
1721922393345,c,sd,Parallel
1721922395415,c,sd,Angle bisector
1721922506203,h,s,segment.BC
1721922506211,h,s,segment.BC
1721922506212,h,t,triangle.ABC
1721922506218,h,t,triangle.ABC
