t,e,c,v
1720620329429,h,s,segment.AD
1720620329512,h,s,segment.AD
1720620329512,h,po,A
1720620329519,h,po,A
1720620335210,c,pr,s6
1720620341178,h,s,segment.AB
1720620341681,h,s,segment.AB
1720620341682,h,t,triangle.ABD
1720620341703,h,t,triangle.ABD
1720620341708,h,t,triangle.ABD
1720620342049,h,t,triangle.ABD
1720620342051,h,s,segment.BD
1720620342292,h,s,segment.BD
1720620342292,h,a,ABD
1720620342668,h,a,ABD
1720620342669,h,a,CBD
1720620342849,h,a,CBD
1720620342850,h,s,segment.BC
1720620343139,h,s,segment.BC
1720620343140,h,t,triangle.BCD
1720620343314,h,t,triangle.BCD
1720620343314,h,a,CDB
1720620343536,h,a,CDB
1720620343536,h,s,segment.CD
1720620343556,h,s,segment.CD
1720620345643,h,s,segment.AD
1720620345762,h,s,segment.AD
1720620345762,h,a,BAD
1720620345804,h,a,BAD
1720620345804,h,t,triangle.ABD
1720620346418,c,t,triangle.ABD
1720620346585,h,a,ADB
1720620346619,h,a,ADB
1720620346620,h,a,CDB
1720620346704,h,a,CDB
1720620346705,h,t,triangle.BCD
1720620347202,c,t,triangle.BCD
1720620347369,h,s,segment.CD
1720620347389,h,s,segment.CD
1720620356665,h,s,segment.AD
1720620356674,h,s,segment.AD
1720620356674,h,a,BAD
1720620356693,h,a,BAD
1720620356693,h,s,segment.AB
1720620356728,h,s,segment.AB
1720620359914,c,pr,s7
1720620360730,c,pr,s8
1720620368698,c,pr,s3
1720620370620,p,l,LMK
1720620371212,p,l,JMK
1720620372881,p,l,LK
1720620372976,m,d,Congruent lines
1720620373528,p,l,JMK
1720620385042,c,pr,s5
1720620389505,h,s,segment.JK
1720620389526,h,s,segment.JK
1720620389526,h,t,triangle.JKM
1720620389553,h,t,triangle.JKM
1720620389553,h,s,segment.KM
1720620389574,h,s,segment.KM
1720620389575,h,a,JMK
1720620389594,h,a,JMK
1720620389594,h,a,LMK
1720620389630,h,a,LMK
1720620389631,h,s,segment.LM
1720620389642,h,s,segment.LM
1720620389643,h,po,M
1720620389664,h,po,M
1720620389933,h,s,segment.LM
1720620389996,h,s,segment.LM
1720620390051,h,t,triangle.KLM
1720620390280,h,t,triangle.KLM
1720620390281,h,a,MLK
1720620390405,h,a,MLK
1720620390406,h,t,triangle.KLM
1720620390426,h,t,triangle.KLM
1720620390427,h,s,segment.KL
1720620390593,h,s,segment.KL
1720620390595,h,t,triangle.KLM
1720620390857,h,t,triangle.KLM
1720620390858,h,s,segment.KL
1720620390885,h,s,segment.KL
1720620391141,h,s,segment.KL
1720620391547,c,s,segment.KL
1720620391826,h,a,LKM
1720620391840,h,a,LKM
1720620391841,h,a,JKM
1720620391853,h,a,JKM
1720620391854,h,s,segment.JK
1720620391861,h,s,segment.JK
1720620392270,h,s,segment.JK
1720620392738,c,s,segment.JK
1720620393538,c,s,segment.JK
1720620393802,h,t,triangle.JKM
1720620394058,h,t,triangle.JKM
1720620394059,h,s,segment.KM
1720620394450,c,s,segment.KM
1720620394677,h,t,triangle.KLM
1720620394683,h,t,triangle.KLM
1720620627370,h,po,G
1720620627396,h,po,G
1720620627396,h,s,segment.BG
1720620627404,h,s,segment.BG
1720620627404,h,a,BGC
1720620627444,h,a,BGC
1720620627445,h,t,triangle.BCG
1720620627569,h,t,triangle.BCG
1720620627569,h,s,segment.BC
1720620627959,h,s,segment.BC
1720620627960,h,t,triangle.BCD
1720620628001,h,t,triangle.BCD
1720620628002,h,s,segment.BD
1720620628022,h,s,segment.BD
1720620628022,h,t,triangle.ABD
1720620628063,h,t,triangle.ABD
1720620628064,h,a,BAD
1720620628071,h,a,BAD
1720620628071,h,a,BAF
1720620628091,h,a,BAF
1720620628091,h,s,segment.AF
1720620628105,h,s,segment.AF
1720620631874,c,pr,prove
1720620633043,c,pr,s1
1720620634882,c,pr,s2
1720620637114,c,pr,s3
1720620639058,c,pr,s4
1720620640346,c,pr,s5
1720620640737,c,pr,s6
1720620641393,p,l,BDC
1720620641501,p,l,BDC
1720620642681,c,pr,s7
1720620643193,c,pr,s8
1720620643969,c,pr,s9
1720620644369,c,pr,s10
1720620644591,h,s,segment.CD
1720620644598,h,s,segment.CD
1720620644599,h,t,triangle.BCD
1720620644605,h,t,triangle.BCD
1720620644606,h,a,BCG
1720620644612,h,a,BCG
1720620644613,h,s,segment.CG
1720620644619,h,s,segment.CG
1720620649937,c,pr,s9
1720620651433,c,pr,s10
1720620651817,h,po,C
1720620651828,h,po,C
1720620651829,h,s,segment.CG
1720620651836,h,s,segment.CG
1720620655955,h,po,C
1720620655965,h,po,C
1720620657305,p,l,AFB
1720620657375,m,d,Congruent angles
1720620657681,p,l,AFB
1720620658307,p,l,CGB
1720620658774,p,l,CGB
1720620665077,h,s,segment.AF
1720620665235,h,s,segment.AF
1720620665506,h,s,segment.AF
1720620665519,h,s,segment.AF
1720620665520,h,a,AFB
1720620665554,h,a,AFB
1720620665555,h,t,triangle.ABF
1720620665756,h,t,triangle.ABF
1720620665756,h,a,ABF
1720620665805,h,a,ABF
1720620665805,h,s,segment.BG
1720620665818,h,s,segment.BG
1720620665818,h,a,CBG
1720620665833,h,a,CBG
1720620665834,h,s,segment.BG
1720620665846,h,s,segment.BG
1720620665847,h,t,triangle.BCG
1720620665867,h,t,triangle.BCG
1720620665992,h,t,triangle.BCG
1720620666532,h,t,triangle.BCG
1720620666533,h,s,segment.BC
1720620666547,h,s,segment.BC
1720620666548,h,t,triangle.BCD
1720620666568,h,t,triangle.BCD
1720620666568,h,a,BDC
1720620666596,h,a,BDC
1720620666596,h,s,segment.CD
1720620666603,h,s,segment.CD
1720620666603,h,po,D
1720620666631,h,po,D
1720620670457,c,pr,s9
1720620671025,c,pr,s8
1720620709795,h,s,segment.GH
1720620709807,h,s,segment.GH
1720620709815,h,t,triangle.GHJ
1720620709828,h,t,triangle.GHJ
1720620709828,h,s,segment.GJ
1720620709835,h,s,segment.GJ
1720620709836,h,t,triangle.FGJ
1720620709856,h,t,triangle.FGJ
1720620709856,h,t,triangle.EFJ
1720620709863,h,t,triangle.EFJ
1720620709863,h,a,FEJ
1720620709869,h,a,FEJ
1720620710389,c,pr,s2
1720620710930,c,pr,s3
1720620711389,c,pr,s5
1720620712314,c,pr,s6
1720620712535,h,po,H
1720620712542,h,po,H
