t,e,c,v
1721852211806,m,mi,
1721852211822,ml,mi,
1721852211873,h,s,segment.BC
1721852211890,h,s,segment.BC
1721852211890,h,t,triangle.ABC
1721852212005,h,t,triangle.ABC
1721852212006,h,s,segment.AB
1721852212103,h,s,segment.AB
1721852223029,m,re,
1721852223437,ml,re,
1721852223438,m,mi,
1721852223554,ml,mi,
1721852224704,h,s,segment.AB
1721852224755,h,s,segment.AB
1721852224756,h,t,triangle.ABC
1721852224787,h,t,triangle.ABC
1721852224788,h,s,segment.AC
1721852224805,h,s,segment.AC
1721852224821,h,s,segment.AD
1721852224837,h,s,segment.AD
1721852236589,h,s,segment.AB
1721852236622,h,s,segment.AB
1721852236688,h,t,triangle.ABC
1721852236852,h,t,triangle.ABC
1721852236918,h,s,segment.AB
1721852237648,h,s,segment.AB
1721852237649,h,s,segment.AC
1721852237701,h,s,segment.AC
1721852237718,h,s,segment.AD
1721852238050,h,s,segment.AD
1721852238051,h,s,segment.AC
1721852238134,h,s,segment.AC
1721852238167,h,s,segment.AC
1721852238451,h,s,segment.AC
1721852238785,h,s,segment.AC
1721852239266,h,s,segment.AC
1721852239300,h,t,triangle.ABC
1721852239367,h,t,triangle.ABC
1721852239384,h,s,segment.AB
1721852239732,h,s,segment.AB
1721852239733,h,t,triangle.ABC
1721852239767,h,t,triangle.ABC
1721852239768,h,s,segment.AC
1721852239784,h,s,segment.AC
1721852239785,h,s,segment.AD
1721852239816,h,s,segment.AD
1721852244217,h,s,segment.AD
1721852244235,h,s,segment.AD
1721852244254,h,t,triangle.ABC
1721852244268,h,t,triangle.ABC
1721852244269,h,s,segment.AB
1721852244292,h,s,segment.AB
1721852245986,c,pr,s3
1721852246863,c,pr,s4
1721852252388,h,s,segment.AD
1721852252406,h,s,segment.AD
1721852252439,h,t,triangle.ABC
1721852252735,h,t,triangle.ABC
1721852252737,h,s,segment.AB
1721852252769,h,s,segment.AB
1721852265349,m,mi,
1721852265917,ml,mi,
1721852266951,m,mi,
1721852267534,ml,mi,
1721852279291,m,mi,
1721852279408,ml,mi,
1721852282308,m,mi,
1721852282424,ml,mi,
1721852286507,m,re,
1721852287141,ml,re,
1721852289676,h,po,D
1721852289691,h,po,D
1721852289692,h,s,segment.AD
1721852289708,h,s,segment.AD
1721852310220,n,i,
1721852429383,h,s,segment.JM
1721852429402,h,s,segment.JM
1721852429403,h,t,triangle.JKM
1721852429467,h,t,triangle.JKM
1721852429468,h,s,segment.JK
1721852429485,h,s,segment.JK
1721852447533,h,s,segment.JK
1721852447767,h,s,segment.JK
1721852448015,h,s,segment.JK
1721852448050,h,s,segment.JK
1721852448051,h,t,triangle.KLM
1721852448331,h,t,triangle.KLM
1721852448333,h,s,segment.KM
1721852448347,h,s,segment.KM
1721852448363,h,t,triangle.JKM
1721852448383,h,t,triangle.JKM
1721852449198,p,l,JMK
1721852449348,p,l,MK
1721852449750,m,d,Perpendicular
1721852450267,p,l,MK
1721852450799,m,d,Perpendicular
1721852451681,p,l,JL
1721852453533,p,l,JK
1721852455050,m,d,Congruent lines
1721852455464,p,l,JK
1721852456379,p,l,LMK
1721852457199,p,l,LK
1721852458277,p,l,JMK
1721852458693,p,l,LMK
1721852460121,c,pr-r,s1
1721852461889,c,pr-r,s2
1721852464448,c,pr-r,s3
1721852467215,p,l,MK
1721852467435,m,d,Perpendicular
1721852467533,p,l,JL
1721852473430,h,s,segment.JM
1721852473448,h,s,segment.JM
1721852474565,h,s,segment.JK
1721852474581,h,s,segment.JK
1721852474582,h,t,triangle.JKM
1721852474614,h,t,triangle.JKM
1721852474615,h,s,segment.KM
1721852474631,h,s,segment.KM
1721852474632,h,s,segment.LM
1721852474662,h,s,segment.LM
1721852477899,m,re,
1721852479266,ml,re,
1721852480098,h,s,segment.KL
1721852480197,h,s,segment.KL
1721852480199,h,s,segment.LM
1721852480232,h,s,segment.LM
1721852480699,h,po,L
1721852480713,h,po,L
1721852482364,h,s,segment.KL
1721852482398,h,s,segment.KL
1721852482400,h,s,segment.LM
1721852482412,h,s,segment.LM
1721852482414,h,po,L
1721852482432,h,po,L
1721852483730,h,s,segment.LM
1721852483779,h,s,segment.LM
1721852483781,h,t,triangle.KLM
1721852483799,h,t,triangle.KLM
1721852483800,h,t,triangle.JKM
1721852483864,h,t,triangle.JKM
1721852483865,h,s,segment.JK
1721852483880,h,s,segment.JK
1721852492562,h,po,M
1721852492580,h,po,M
1721852492581,h,s,segment.LM
1721852492766,h,s,segment.LM
1721852492830,h,t,triangle.KLM
1721852493048,h,t,triangle.KLM
1721852493050,h,s,segment.KL
1721852493131,h,s,segment.KL
1721852493681,h,s,segment.KL
1721852493798,h,s,segment.KL
1721852493800,h,t,triangle.KLM
