t,e,c,v
1720727153553,n,b,
1720727174131,p,l,DC
1720727174231,m,d,Congruent lines
1720727174631,p,l,DC
1720727174732,m,d,Congruent lines
1720727178064,p,l,BC
1720727178198,p,l,AD
1720727178364,m,d,Congruent lines
1720727179297,p,l,AB
1720727179698,m,d,Congruent lines
1720727184031,h,s,segment.BC
1720727184064,h,s,segment.BC
1720727185964,h,s,segment.AD
1720727186531,h,s,segment.AD
1720727186531,h,t,triangle.ACD
1720727186814,h,t,triangle.ACD
1720727186814,h,s,segment.AC
1720727187347,h,s,segment.AC
1720727187381,h,t,triangle.ABC
1720727187464,h,t,triangle.ABC
1720727187464,h,s,segment.AB
1720727187881,h,s,segment.AB
1720727187881,h,t,triangle.ABC
1720727187898,h,t,triangle.ABC
1720727187914,h,t,triangle.ABC
1720727187964,h,t,triangle.ABC
1720727188031,h,s,segment.AC
1720727188848,h,s,segment.AC
1720727188848,h,t,triangle.ACD
1720727189848,h,t,triangle.ACD
1720727189848,h,s,segment.AC
1720727189948,h,s,segment.AC
1720727189965,h,t,triangle.ABC
1720727189981,h,t,triangle.ABC
1720727190231,h,t,triangle.ABC
1720727191181,h,t,triangle.ABC
1720727191181,h,s,segment.AC
1720727191198,h,s,segment.AC
1720727191198,h,t,triangle.ACD
1720727191814,h,t,triangle.ACD
1720727191814,h,s,segment.AD
1720727191864,h,s,segment.AD
1720727192248,h,s,segment.AD
1720727192798,h,s,segment.AD
1720727192798,h,t,triangle.ACD
1720727192864,h,t,triangle.ACD
1720727192864,h,s,segment.CD
1720727193548,h,s,segment.CD
1720727195514,h,s,segment.CD
1720727196315,h,s,segment.CD
1720727196315,h,t,triangle.ACD
1720727197081,h,t,triangle.ACD
1720727197081,h,t,triangle.ABC
1720727197098,h,t,triangle.ABC
1720727197098,h,s,segment.BC
1720727197114,h,s,segment.BC
1720727200200,c,pr-r,s1
1720727208681,h,t,triangle.ACD
1720727208697,h,t,triangle.ACD
1720727208697,h,t,triangle.ABC
1720727208731,h,t,triangle.ABC
1720727208731,h,s,segment.BC
1720727208748,h,s,segment.BC
1720727227798,h,s,segment.AD
1720727228530,h,s,segment.AD
1720727228530,h,t,triangle.ACD
1720727228580,h,t,triangle.ACD
1720727228580,h,s,segment.AC
1720727228630,h,s,segment.AC
1720727228631,h,t,triangle.ABC
1720727228797,h,t,triangle.ABC
1720727228797,h,s,segment.AB
1720727229531,h,s,segment.AB
1720727234131,h,po,D
1720727234147,h,po,D
1720727234147,h,t,triangle.ACD
1720727234197,h,t,triangle.ACD
1720727234197,h,s,segment.AC
1720727234531,h,s,segment.AC
1720727234531,h,t,triangle.ACD
1720727234580,h,t,triangle.ACD
1720727234647,h,s,segment.AD
1720727235147,h,s,segment.AD
1720727235164,h,t,triangle.ACD
1720727235181,h,t,triangle.ACD
1720727235181,h,s,segment.AC
1720727235197,h,s,segment.AC
1720727235197,h,t,triangle.ABC
1720727235414,h,t,triangle.ABC
1720727235414,h,s,segment.AB
1720727235780,h,s,segment.AB
1720727235780,h,t,triangle.ABC
1720727235797,h,t,triangle.ABC
1720727235797,h,s,segment.AC
1720727235814,h,s,segment.AC
1720727235814,h,t,triangle.ACD
1720727235831,h,t,triangle.ACD
1720727235831,h,s,segment.AD
1720727235847,h,s,segment.AD
1720727257796,h,s,segment.BC
1720727257814,h,s,segment.BC
1720727259550,c,pr-r,s2
1720727260713,h,s,segment.BC
1720727260730,h,s,segment.BC
1720727260730,h,t,triangle.ABC
1720727260764,h,t,triangle.ABC
1720727260764,h,s,segment.AC
1720727260830,h,s,segment.AC
1720727260830,h,t,triangle.ACD
1720727260947,h,t,triangle.ACD
1720727260947,h,s,segment.AD
1720727261514,h,s,segment.AD
1720727261514,h,t,triangle.ACD
1720727261564,h,t,triangle.ACD
1720727261564,h,s,segment.CD
1720727261581,h,s,segment.CD
1720727269099,c,qh,show
1720727290797,h,t,triangle.ACD
1720727290830,h,t,triangle.ACD
1720727290830,h,t,triangle.ABC
1720727290880,h,t,triangle.ABC
1720727290880,h,s,segment.AB
1720727291263,h,s,segment.AB
1720727296530,h,s,segment.AB
1720727296647,h,s,segment.AB
1720727296663,h,t,triangle.ABC
1720727297796,h,t,triangle.ABC
1720727297813,h,t,triangle.ABC
1720727297846,h,t,triangle.ABC
1720727297846,h,s,segment.AC
1720727297863,h,s,segment.AC
